trades,win_rate,total_r,pf,max_dd_r,decline_bars,drop_atr_cap,spike_atr,use_down_d1,rr
42,28.57142857142857,-12.574454172838227,0.5861097486812774,18.36514053687624,18,2.5,1.5,True,1.5
42,26.190476190476193,-9.574454172838234,0.6949864093368716,18.365140536876247,18,2.5,1.5,True,2.0
114,39.473684210526315,-3.8701060410431056,0.9450318380279736,11.063888549507718,18,2.5,1.5,False,1.5
112,35.714285714285715,5.653798354098075,1.0769819922666917,11.744888296683573,18,2.5,1.5,False,2.0
25,36.0,-2.7854056531046223,0.8279278623683575,6.674259388823312,18,2.5,1.8,True,1.5
25,32.0,-1.2854056531046285,0.9252521313132328,7.174259388823315,18,2.5,1.8,True,2.0
64,45.3125,7.257967861632488,1.2037233503796918,7.138119156178422,18,2.5,1.8,False,1.5
63,42.857142857142854,16.77366331772488,1.457850086647388,7.138119156178419,18,2.5,1.8,False,2.0
9,55.55555555555556,3.4173389557943556,1.8467560779535985,2.024237756537853,18,2.5,2.2,True,1.5
9,55.55555555555556,5.917338955794358,2.466211807182521,2.024237756537853,18,2.5,2.2,True,2.0
29,48.275862068965516,5.398288366537275,1.3528270767207662,5.106651582369185,18,2.5,2.2,False,1.5
29,48.275862068965516,12.398288366537265,1.8103405271609108,5.106651582369185,18,2.5,2.2,False,2.0
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,18,2.5,2.5,True,1.5
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,18,2.5,2.5,True,2.0
15,33.33333333333333,-2.8177799610241934,0.7241077886551991,7.233233512008627,18,2.5,2.5,False,1.5
15,33.33333333333333,-0.3177799610241978,0.9688857833540119,6.233233512008622,18,2.5,2.5,False,2.0
5,20.0,-2.550779413475525,0.36894279074228065,3.0186689939989897,18,2.5,3.0,False,1.5
5,20.0,-2.050779413475525,0.4926416895815735,3.0186689939989897,18,2.5,3.0,False,2.0
41,29.268292682926827,-11.554908163381528,0.6064617100742911,17.345594527419546,18,3.0,1.5,True,1.5
41,26.82926829268293,-8.554908163381539,0.718317133589974,17.345594527419554,18,3.0,1.5,True,2.0
109,38.53211009174312,-6.205876142236915,0.9091610019628428,12.482280245404443,18,3.0,1.5,False,1.5
107,34.57943925233645,1.8180282529042737,1.0254789529341235,13.709747836384949,18,3.0,1.5,False,2.0
25,36.0,-2.7854056531046223,0.8279278623683575,6.674259388823312,18,3.0,1.8,True,1.5
25,32.0,-1.2854056531046285,0.9252521313132328,7.174259388823315,18,3.0,1.8,True,2.0
61,42.62295081967213,2.833188730110997,1.0795245599539447,8.171355780311035,18,3.0,1.8,False,1.5
60,40.0,10.848884186203396,1.2961286673395822,8.171355780311034,18,3.0,1.8,False,2.0
9,55.55555555555556,3.4173389557943556,1.8467560779535985,2.024237756537853,18,3.0,2.2,True,1.5
9,55.55555555555556,5.917338955794358,2.466211807182521,2.024237756537853,18,3.0,2.2,True,2.0
29,48.275862068965516,5.398288366537275,1.3528270767207662,5.106651582369185,18,3.0,2.2,False,1.5
29,48.275862068965516,12.398288366537265,1.8103405271609108,5.106651582369185,18,3.0,2.2,False,2.0
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,18,3.0,2.5,True,1.5
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,18,3.0,2.5,True,2.0
15,33.33333333333333,-2.8177799610241934,0.7241077886551991,7.233233512008627,18,3.0,2.5,False,1.5
15,33.33333333333333,-0.3177799610241978,0.9688857833540119,6.233233512008622,18,3.0,2.5,False,2.0
5,20.0,-2.550779413475525,0.36894279074228065,3.0186689939989897,18,3.0,3.0,False,1.5
5,20.0,-2.050779413475525,0.4926416895815735,3.0186689939989897,18,3.0,3.0,False,2.0
