timeframe,trap_kind,strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_break_depth_atr,avg_reclaim_atr,avg_range_atr,avg_activity_ratio,avg_mfe_16_atr,avg_mae_16_atr,avg_mfe_r,avg_mae_r,hit_1atr_first_16
H4,close_fail,CLOSEFAIL_L55_W8_STRICT_RR15,360,39.44444444444444,-16.99732991491595,-0.047214805319210976,0.919923385544128,36.10667678450273,12,13.027777777777779,1.0560684284431971,0.6266949593244073,1.7092108589874164,1.8471937212294531,2.0827588651374898,2.213165093172952,0.9770110235243856,0.9316342090951621,43.333333333333336
H4,close_fail,CLOSEFAIL_L55_W6_ACTIVITY_RR15,693,40.83694083694084,-18.404460426532452,-0.02655766295314928,0.954704359471767,56.21457056087743,10,12.007215007215008,1.019177148456781,0.5617069500248689,1.6203216480777072,1.727345165659098,2.139175183383705,2.1206108648875235,1.0282129349033873,0.9119779396508222,49.06204906204906
H4,close_fail,CLOSEFAIL_L120_W6_ACTIVITY_RR15,434,40.78341013824885,-19.12299447222643,-0.04406219924476136,0.925312524223297,51.88903918960739,11,12.294930875576037,1.0490778253307673,0.5492728710091827,1.6117641755075376,1.7214958185368068,2.1469163577279753,2.068137778969822,1.0103981283892922,0.8987428175936205,49.07834101382488
H4,close_fail,CLOSEFAIL_L120_W8_STRICT_RR15,231,38.095238095238095,-21.22230783894554,-0.09187146250625775,0.8475663069915733,33.62085379936447,10,13.441558441558442,1.0814353960909746,0.6033773706062717,1.6849074202739707,1.822659121176402,2.0882390340078887,2.178925138882361,0.9730806492437559,0.9401309906279212,45.02164502164502
H4,wick,WICK_L120_STRICT_RR15,202,33.663366336633665,-39.95152183519034,-0.1977798110652987,0.6995589779229039,47.436506507136016,9,11.628712871287128,0.28869562878019384,1.2414613478121677,1.742412290723235,1.8762762396083226,2.100202720457757,2.3453612107681967,1.0074910245696105,1.023165982681873,45.54455445544555
H4,close_fail,CLOSEFAIL_L20_W8_STRICT_RR15,573,38.56893542757417,-48.18410588087859,-0.0840909352196834,0.860812074327405,77.47026528146102,10,13.214659685863875,1.0531418678290294,0.6317972260319883,1.714796010593838,1.8464583486385964,2.0293034490513615,2.259306531944922,0.9624303536688753,0.9436717095658117,45.54973821989529
H4,close_fail,CLOSEFAIL_L120_W6_BODY_RR15,1425,40.91228070175438,-63.03808974548335,-0.0442372559617427,0.927258548723671,97.27959799547641,19,9.599298245614035,0.8878200234409439,0.48415899031244697,1.2630527633098207,1.3269889634025034,2.2596238235129853,2.243767647678889,1.1095214977642858,0.9890583530007095,49.54385964912281
H4,wick,WICK_L55_STRICT_RR15,333,33.633633633633636,-63.73532045323449,-0.1913973587184219,0.7092085556820693,73.91436037752618,9,11.774774774774775,0.2927763231829751,1.2720307026148983,1.7710047563534894,1.9085341764471169,2.015618755809351,2.3771641575160998,0.9733716767261013,1.012205342390344,44.14414414414414
H4,wick,WICK_L120_ACTIVITY_RR15,416,36.29807692307692,-64.38208617259772,-0.15476463022259068,0.7591562491061201,69.10487599240653,14,10.576923076923077,0.30140921747122235,1.1288516974056069,1.6675320314466124,1.763491858232611,2.161313632054763,2.207502517127302,1.0230489043649593,0.9986100599671759,46.15384615384615
H4,wick,WICK_L120_BODY_RR15,678,37.610619469026545,-84.06819642456608,-0.12399439000673464,0.8071616366682333,89.1829457685198,11,7.848082595870206,0.2500193186496931,0.9118506737033394,1.3702588025120117,1.4353668354104867,2.2080324977185932,2.245688041831955,1.096739618515661,1.0298704576496964,48.23008849557522
