timeframe,strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_break_depth_atr,avg_reclaim_atr,avg_range_atr,avg_activity_ratio,avg_mfe_16_atr,avg_mae_16_atr,avg_mfe_r,avg_mae_r,hit_1atr_first_16
H4,WICK_L55_RAW_RR15,USDJPY,669,44.69357249626308,44.01601913264642,0.06579375057196775,1.1151607942267272,27.531288528044584,14,4.19880418535127,0.30457685716423427,0.4401069592656355,1.2813276866059873,1.3458610440314838,2.32503918877228,2.2716340068145495,1.2886110380455358,1.116182496141633,51.86846038863976
H4,WICK_L120_RAW_RR15,USDJPY,435,43.67816091954023,18.668806433157194,0.042916796398062514,1.0739259808032973,25.978613904874027,15,3.981609195402299,0.31254768386588705,0.4327347529590866,1.305457555508732,1.3767579132216285,2.369012550159265,2.4118381865365732,1.2766139143721364,1.1343527172170156,51.03448275862069
D1,CLOSEFAIL_L20_W6_BODY_RR15,GBPJPY,121,47.93388429752066,18.410473742206634,0.15215267555542672,1.3118875460112371,10.322367747364355,4,8.685950413223141,0.8963838211708818,0.5518587211857385,1.3035729319046916,1.358667267854523,2.479606187795922,2.067128308191147,1.0593182274746518,0.8658257009551181,54.54545454545454
D1,CLOSEFAIL_L20_W6_BODY_RR15,SILVER,106,49.056603773584904,16.35418915726757,0.15428480337044878,1.3289697155168334,6.463336287086402,6,9.481132075471699,0.8832994161933697,0.45344159939202294,1.262493033416134,1.3150852828769724,2.42472232918801,2.5430306153896014,1.0999216504831606,0.8349879787243345,55.660377358490564
D1,CLOSEFAIL_L55_W6_BODY_RR15,GBPJPY,63,52.38095238095239,15.60668845773243,0.24772521361480046,1.557024586213899,5.493320885359307,4,8.746031746031745,0.9526877153987603,0.5317436023862799,1.3062025478552268,1.3757064136978847,2.5945950264313327,2.0267840522007914,1.1201498160690324,0.8099601511477571,55.55555555555556
H4,WICK_L20_RAW_RR15,USDJPY,1080,42.5,15.312843391946343,0.014178558696246613,1.023862570937982,42.640485786526696,16,4.035185185185185,0.2952980642978757,0.43902878525234323,1.233870278731905,1.2841027635820579,2.320017325262669,2.2527166255507582,1.2509718266986638,1.1218288342813538,50.27777777777778
D1,WICK_L20_BODY_RR15,XAUUSD,53,52.83018867924528,13.180441536842162,0.24868757616683324,1.518051315058332,5.1524579488894275,5,5.0,0.2131049134532893,0.8602595104504297,1.2823952932565188,1.3188076072029453,2.661281340437741,2.155611208590767,1.1425680446230775,0.8752777797661818,54.71698113207547
D1,CLOSEFAIL_L20_W6_BODY_RR15,XAUUSD,103,49.51456310679612,12.800192039402397,0.12427370912041162,1.250257240528953,7.357069924352329,5,8.815533980582524,0.8788140024446154,0.502421350157202,1.3551741628340905,1.398529465888437,2.5982084543458903,2.1766681174555926,1.174709226812468,0.8766644006824639,58.252427184466015
D1,CLOSEFAIL_L120_W6_BODY_RR15,AUDJPY,36,61.111111111111114,12.59953820522166,0.3499871723672683,1.9598405653695288,6.049413530751782,6,9.944444444444445,0.8962000356169233,0.5760678594292558,1.3458224975839226,1.3974329832472363,2.191179627681016,1.6553128191327087,1.2938106595712453,0.7554291048993234,52.77777777777778
D1,CLOSEFAIL_L120_W6_BODY_RR15,GBPJPY,42,54.761904761904766,11.532750683586842,0.2745893019901629,1.6250420610395617,4.589648634298113,4,9.142857142857142,0.9909673391715743,0.5088326980149314,1.3487946256872216,1.4304679449332949,2.6631799593081924,2.0367628394066353,1.1384171596543253,0.7853476005699485,54.761904761904766
