timeframe,strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_break_depth_atr,avg_reclaim_atr,avg_range_atr,avg_activity_ratio,avg_mfe_16_atr,avg_mae_16_atr,avg_mfe_r,avg_mae_r,hit_1atr_first_16
D1,CLOSEFAIL_L20_W6_BODY_RR15,Research_2015_2024,693,45.310245310245314,44.316340072448234,0.06394854267308547,1.1239532509055998,21.87149833507284,17,8.74891774891775,0.8653982611887227,0.5334927514475412,1.321102863568978,1.3667957724884077,2.2940815650829696,2.1846623084995063,1.0391349676559285,0.8943403090303551,54.97835497835498
D1,CLOSEFAIL_L120_W6_BODY_RR15,Research_2015_2024,245,51.42857142857142,43.521312259434396,0.1776380092221812,1.380102250996565,9.008706249963499,7,8.657142857142857,0.8826545521666448,0.5632761117094686,1.3775894631745538,1.4363231095079578,2.5600235641661855,2.057525674119464,1.1069418481586701,0.8580984300863697,57.55102040816327
H4,WICK_L120_RAW_RR15,OOS_2025_2026,321,45.794392523364486,29.823927647039895,0.09290943192224266,1.1644761741792298,24.14578000460862,10,3.4361370716510904,0.29319930262929844,0.3812637378417097,1.2175413119601686,1.2634364825827655,2.6733246536218482,2.0193170837249412,1.4146104372317592,1.066756441833393,53.58255451713395
D1,CLOSEFAIL_L55_W6_BODY_RR15,Research_2015_2024,393,46.0559796437659,27.093979630402313,0.06894142399593464,1.1350859248273626,16.389721292815956,13,8.541984732824428,0.8829525894856585,0.5430283232932449,1.3403679072857702,1.3953137176370385,2.3497648686894976,2.22050838380867,1.026121368903078,0.8918358286061717,53.18066157760815
H4,CLOSEFAIL_L20_W6_ACTIVITY_RR15,OOS_2025_2026,108,50.92592592592593,22.371405500106242,0.20714264351950223,1.4309235819044783,7.526594259444096,7,12.88888888888889,0.942798705417944,0.5094724538906445,1.480378746375806,1.566632120013242,2.3754618123782003,1.999905868092039,1.2061032113081198,0.8608605544313086,62.96296296296296
H4,CLOSEFAIL_L120_W6_BODY_RR15,OOS_2025_2026,143,48.25174825174825,19.857199188630027,0.13886153278762256,1.26676616607253,9.168740180190719,8,9.65034965034965,0.8481850298125052,0.4521519743197224,1.2285276427177423,1.2898995308914203,2.6720949287450186,2.087964830348382,1.2037097671648953,0.9331207471715719,60.83916083916085
H4,CLOSEFAIL_L55_W6_ACTIVITY_RR15,OOS_2025_2026,64,54.6875,18.14704066603637,0.2835475104068183,1.629375053219093,5.421951958690157,6,11.765625,0.9658539908161179,0.4785609783331939,1.5014828310380226,1.5889549179951492,2.7794341624075076,1.828184233627123,1.304896565813089,0.8520184144718471,60.9375
D1,CLOSEFAIL_L20_W6_ACTIVITY_RR15,Research_2015_2024,231,46.75324675324675,16.575700652364933,0.07175627988036767,1.1440184298887064,17.012261007479804,10,9.917748917748918,0.9659532916900851,0.5751631602611702,1.5947820009937208,1.6805252380193632,2.359995695879413,2.096483071121224,1.0186272648488486,0.8320757200034405,58.87445887445888
H4,CLOSEFAIL_L55_W6_BODY_RR15,OOS_2025_2026,227,44.93392070484582,15.8929394822259,0.07001294926090705,1.1273399431978643,13.949796685692231,11,10.233480176211454,0.8515491435951683,0.45082008108388044,1.2109649835524143,1.2657341068053047,2.5064594871524153,2.0008990492388783,1.1589467762578434,0.9859021811175082,59.03083700440529
H4,CLOSEFAIL_L120_W6_ACTIVITY_RR15,OOS_2025_2026,47,53.191489361702125,9.767014397503765,0.2078088169681652,1.4362448737766482,6.685522463491846,6,11.638297872340425,0.9797027765717347,0.4996860140161366,1.5279468072051314,1.636644645190035,2.898502444083585,1.9397961540427353,1.296782793496599,0.8168336793828671,55.319148936170215
D1,WICK_L120_BODY_RR15,Research_2015_2024,114,45.614035087719294,9.555847203959118,0.08382322108736068,1.157589932822429,6.624489720895525,6,6.807017543859649,0.2194401721155198,0.9373068431083532,1.398803230629247,1.4561347767987767,2.420076582879444,2.1869764537120737,1.0961302496765029,0.9425112764728835,59.64912280701754
D1,WICK_L120_BODY_RR15,OOS_2025_2026,18,66.66666666666666,9.410189534243834,0.5227883074579908,2.625699750129582,2.0144416297919596,2,9.722222222222221,0.27565426253983677,0.9750071205255778,1.5188691908403031,1.6085887630046125,2.725989466116176,4.946847020504836,1.4283240687619285,0.7479174494670048,61.111111111111114
D1,WICK_L120_ACTIVITY_RR15,OOS_2025_2026,13,76.92307692307693,8.103094378640844,0.6233149522031418,3.6790684465357453,2.0144416297919587,2,11.076923076923077,0.34029190339334814,1.1111674696927334,1.7563673890859746,1.8682544618439627,3.172650051664193,5.426020797438884,1.371857375341033,0.7308518804983426,76.92307692307693
H4,WICK_L55_ACTIVITY_RR15,OOS_2025_2026,55,47.27272727272727,7.00475865018088,0.1273592481851069,1.2418421054455582,7.541125633729933,5,10.090909090909092,0.3063311708159433,1.0492005855372115,1.6324519177511605,1.737441527175435,3.059237578591853,2.059774188704826,1.281961142208207,0.8651180571042041,52.72727272727272
H4,WICK_L20_ACTIVITY_RR15,OOS_2025_2026,108,43.51851851851852,6.244873186562906,0.05782289987558246,1.1028601380908971,16.837569114604275,6,9.666666666666666,0.30071603523628204,0.9790049497103893,1.5099000024523,1.5903278308063291,2.2644558531042605,2.26578986693416,1.1134464352286995,0.9169550405162716,52.77777777777778
D1,CLOSEFAIL_L120_W6_ACTIVITY_RR15,Research_2015_2024,78,46.15384615384615,5.262418981473295,0.0674669100188884,1.130805346723594,7.013674049281754,4,9.64102564102564,1.0234818561049763,0.5701231024881749,1.6514586493903516,1.7716104510261415,2.583699468679292,2.066473750774233,1.0530053356106244,0.8559853769197678,57.692307692307686
H4,CLOSEFAIL_L20_W8_STRICT_RR15,OOS_2025_2026,51,45.09803921568628,5.2332631510164545,0.10261300296110695,1.1903706052030747,10.441562515907698,9,13.529411764705882,1.0244546145158637,0.49770154088825636,1.506687947512591,1.611467973390868,2.6012178422271317,2.1825911884343334,1.0687480479702416,0.8508364680829242,58.82352941176471
D1,WICK_L120_STRICT_RR15,OOS_2025_2026,9,77.77777777777779,4.6796611363274,0.5199623484808222,3.317855387313503,1.01015238127887,1,12.88888888888889,0.33877662113748264,1.1682773012503027,1.8260103694706988,1.9868963415202268,1.9471331675456491,7.150173701628008,1.2234438633986962,0.7217135241444671,77.77777777777779
