timeframe,strategy,direction,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_break_depth_atr,avg_reclaim_atr,avg_range_atr,avg_activity_ratio,avg_mfe_16_atr,avg_mae_16_atr,avg_mfe_r,avg_mae_r,hit_1atr_first_16
D1,CLOSEFAIL_L20_W6_BODY_RR15,long,329,47.72036474164133,33.652063728709564,0.10228590798999868,1.2073355904468046,18.25662818960896,10,9.23404255319149,0.9385306310036124,0.4957400398132936,1.2690343473758081,1.331348040097811,2.296467717415836,2.1069427918070396,1.0825780546423578,0.8828587355696348,58.662613981762924
D1,CLOSEFAIL_L55_W6_BODY_RR15,long,161,49.68944099378882,22.39693686112951,0.1391114090753386,1.2906889726176478,11.217064106669367,6,9.24223602484472,0.9503532875116731,0.5299982852929477,1.2826844905312023,1.3470983651530342,2.3191396432925524,2.0211474286551727,1.059827608304225,0.8680443420353122,58.38509316770186
D1,CLOSEFAIL_L120_W6_BODY_RR15,short,203,47.783251231527096,21.721583094305814,0.10700287238574292,1.2112250403319555,10.759326481953739,7,8.039408866995075,0.8160375055225089,0.5502110063594114,1.3927161358354019,1.4510236714200138,2.4489374544764964,2.4765902520474548,1.0926713426566035,0.898311157248569,53.20197044334976
D1,CLOSEFAIL_L120_W6_BODY_RR15,long,84,54.761904761904766,20.54756557852605,0.24461387593483394,1.575650035498379,5.531283660946331,6,9.785714285714286,1.0066851790669138,0.5521198274458679,1.3243006499183916,1.387444049060678,2.572664319826274,1.8253138142893088,1.1348546624876625,0.7881357155260512,64.28571428571429
D1,WICK_L20_BODY_RR15,long,159,47.16981132075472,16.29301875118538,0.10247181604519107,1.1993199426103576,13.788157546834402,6,6.8930817610062896,0.26566134244011347,0.863194372268732,1.2989146586235087,1.3606473745616778,2.6183974507484113,1.9982901000026392,1.1355451517835193,0.9332487145455016,66.66666666666666
D1,CLOSEFAIL_L20_W6_ACTIVITY_RR15,long,120,48.333333333333336,10.242331225653823,0.08535276021378185,1.1784360073060476,11.474495282026488,8,11.316666666666666,1.0486922739103623,0.5617107380492717,1.5879813125122189,1.6917553323863685,2.215777286862179,1.9286000477066543,1.0446677125079482,0.8154153882632452,67.5
D1,CLOSEFAIL_L20_W6_BODY_RR15,short,450,42.888888888888886,10.189467244776699,0.022643260543948218,1.0422577190891893,21.073638038158197,18,8.333333333333334,0.8041504641110082,0.5597578087996872,1.3536147784498471,1.3894176965555238,2.2866940399306523,2.363925989724602,1.036003715303267,0.9144063854449365,51.55555555555556
D1,CLOSEFAIL_L20_W6_ACTIVITY_RR15,short,137,45.98540145985402,10.099540566728292,0.07371927420969557,1.1438994416123234,9.18989692966683,7,8.510948905109489,0.890308912925022,0.5690574334652521,1.6031556100442714,1.6764525352544262,2.508281798371356,2.568422191461557,1.0258215968356765,0.8420874063529046,50.36496350364964
D1,WICK_L120_BODY_RR15,long,45,53.333333333333336,9.525531057735948,0.21167846794968775,1.4594620256564679,5.4415036503647,4,7.622222222222222,0.25162993417691815,0.9199497449956449,1.350121408715731,1.4055387328777285,2.5186727083342584,2.1970330404504206,1.2195302864883784,0.9127635355740531,75.55555555555556
D1,WICK_L120_BODY_RR15,short,87,45.97701149425287,9.440505680467002,0.10851155954559773,1.2066032275495464,8.058085583191325,7,6.988505747126437,0.2144207966543103,0.9540847098736629,1.4488247164902501,1.5138473483867332,2.4323709076242093,2.752782474390742,1.101032400101828,0.9176372472124412,51.724137931034484
D1,WICK_L120_ACTIVITY_RR15,short,60,48.333333333333336,7.429199772939563,0.12381999621565938,1.2437846444319383,8.063449215304724,7,8.366666666666667,0.25104077976729783,1.1329394601331295,1.729220947210538,1.823849864401002,2.546889266574398,2.9237609593290723,1.0624309229243663,0.8472796181726955,58.333333333333336
D1,CLOSEFAIL_L55_W6_ACTIVITY_RR15,long,59,49.152542372881356,7.035018782428543,0.11923760648183972,1.2576028794038894,7.505485889093595,5,11.288135593220339,1.0719391833753293,0.5923206006059527,1.6294612927529208,1.7469523623766088,2.274465905889178,2.011360143919554,1.066466977444383,0.7945950745364209,67.79661016949152
H4,CLOSEFAIL_L20_W8_STRICT_RR15,long,290,43.103448275862064,6.904215804734957,0.02380764070598261,1.0420292355429415,19.23691305708615,8,13.544827586206896,1.0650491977216088,0.6189880987259327,1.6868417539999074,1.8293510695516646,2.074716599461434,2.2033655831394605,1.0197845628455744,0.9173193269671466,51.37931034482759
H4,CLOSEFAIL_L55_W8_STRICT_RR15,long,169,43.19526627218935,5.788503861970321,0.03425150214183622,1.0605722401272946,13.766886376516059,8,13.396449704142011,1.0496635823950795,0.6345746586935662,1.6773988352739073,1.8209688432468825,2.057097464959252,2.1291497045760486,0.9975877553669604,0.8993829880885432,47.337278106508876
D1,WICK_L20_ACTIVITY_RR15,long,100,46.0,5.724269416254883,0.057242694162548825,1.1147786449300767,7.6307021619758855,5,9.5,0.33138042652743593,1.0823389430561297,1.600867441500721,1.7015344048678724,2.070712270122507,2.0779474622778435,1.0428689002488987,0.882320407817582,69.0
D1,CLOSEFAIL_L120_W8_STRICT_RR15,short,29,51.724137931034484,5.660145811969621,0.1951774417920559,1.4180803490995955,3.4477551513149107,4,9.379310344827585,1.0205670867659977,0.5328187597516646,1.6433474593759787,1.7831577955317415,2.602948362605496,3.7505681494720435,1.0760646503852442,0.7146501729964249,62.06896551724138
D1,CLOSEFAIL_L55_W6_BODY_RR15,short,285,43.15789473684211,5.04525851815422,0.01770266146720779,1.033140553304903,13.756108204642699,13,8.126315789473685,0.8264864986685134,0.5511427208342146,1.3790223350476514,1.434193705495813,2.3136282399223793,2.5229165663803923,1.023035573886769,0.9024499275624144,50.175438596491226
D1,WICK_L120_ACTIVITY_RR15,long,30,53.333333333333336,4.94394524354777,0.16479817478492567,1.3643134177630618,4.057774421842125,4,10.133333333333333,0.29500741926081137,1.140933390479274,1.6194490947566595,1.707919138876687,2.3220148484905843,2.2240009833472154,1.096288559963649,0.8958750676087122,76.66666666666667
D1,WICK_L55_STRICT_RR15,short,36,50.0,4.528940510896668,0.125803903080463,1.265476121754582,5.387631188377108,5,9.444444444444445,0.23900204152630097,1.1852625067952962,1.6814755169881208,1.7745724424777045,2.1625636914510498,3.6099893281549438,1.0755316046351002,0.8310794083091037,63.888888888888886
D1,CLOSEFAIL_L120_W6_ACTIVITY_RR15,long,34,47.05882352941176,4.478192515012527,0.13171154455919196,1.2705657177307872,5.895327086455678,5,10.941176470588236,1.1493179014715342,0.568191153649898,1.6172111051809615,1.7335363326385946,2.4047571461687047,2.112594342421773,1.1256604704521962,0.8110033232531623,67.64705882352942
D1,WICK_L55_ACTIVITY_RR15,short,88,44.31818181818182,4.432350298582474,0.05036761702934629,1.0919683447196256,14.871485725494574,6,7.340909090909091,0.24745962865056662,1.0687423747463953,1.6359284887839038,1.711911225623612,2.499238585854639,2.881915466225405,1.0220705237653043,0.8603767900494449,53.40909090909091
D1,WICK_L120_STRICT_RR15,short,26,53.84615384615385,4.123373207030075,0.1585912771934644,1.3570079567818474,3.7265468529590033,4,10.692307692307692,0.24638128293802264,1.2133279186052879,1.7427263937928645,1.858298738049561,2.122247999077413,4.075667489224341,1.14583308006738,0.8102680298344087,69.23076923076923
D1,CLOSEFAIL_L120_W6_ACTIVITY_RR15,short,58,46.55172413793103,3.313827348682988,0.05713495428763773,1.107762375711167,6.63593537061508,5,8.568965517241379,0.925655195968151,0.5257012812600245,1.6623401416040093,1.7833212193047794,2.7253660295327258,2.829256859770393,1.0767181238513752,0.8820953353882299,53.44827586206896
D1,WICK_L55_RAW_RR15,long,336,42.55952380952381,3.095082628996547,0.009211555443442104,1.0157267743509386,38.27145732981307,10,3.949404761904762,0.33254920413451317,0.48907082703615956,1.3660634536518583,1.4535171177916715,2.5488549650916794,2.1573283510417163,1.2177277792665664,1.0961064206359215,55.35714285714286
H4,CLOSEFAIL_L120_W6_BODY_RR15,long,595,43.36134453781513,2.207448010307658,0.0037099966559792576,1.0063360435063295,56.07238931006605,12,10.653781512605041,0.9508412543613143,0.4845826047363761,1.2592612917655541,1.3321241167519284,2.2209762306232985,2.063468110381924,1.1172434216198106,0.9378017784723336,50.588235294117645
D1,WICK_L20_STRICT_RR15,short,50,46.0,2.046574036668259,0.04093148073336519,1.0784423215818997,11.388466632205626,11,9.08,0.2669944124883508,1.2305528169986046,1.733103820919486,1.8466042169184786,1.889390307869632,3.263712597974971,0.9777799363351519,0.8182678782687297,57.99999999999999
D1,WICK_L20_RAW_RR15,long,666,42.19219219219219,1.2437046115596218,0.0018674243416811136,1.0031735513949112,42.90928259083008,12,3.701201201201201,0.31165310169819394,0.45046740549050207,1.2752591987528674,1.3322942575919103,2.4423523306451886,2.1015250962870407,1.2203603998034351,1.111192067615587,52.702702702702695
D1,WICK_L20_STRICT_RR15,long,45,48.888888888888886,1.1570141813522443,0.025711426252272095,1.0572095212064918,11.03852138309242,9,11.955555555555556,0.33939375812744227,1.2846560129998705,1.783918870682521,1.944121569532188,1.956947540301936,2.061097380659145,0.952898644908291,0.8384807555674911,71.11111111111111
D1,WICK_L55_STRICT_RR15,long,31,51.61290322580645,0.8782393008509495,0.028330300027449982,1.0633526550733279,7.311161259115441,5,11.451612903225806,0.30428568188786015,1.281132650000255,1.758561248273013,1.9146336626934382,1.9962561401051107,2.1150468511041973,0.9393935300730482,0.8412522366975145,70.96774193548387
D1,WICK_L120_STRICT_RR15,long,16,50.0,0.6754605823279656,0.04221628639549785,1.0899345601137829,5.428120488683536,5,11.75,0.3382919569241992,1.2666137210812518,1.7958220332115662,1.9469145184994914,2.312303119882726,2.307359162543388,1.0877931172455524,0.8641675983249139,87.5
D1,WICK_L55_BODY_RR15,long,82,45.1219512195122,0.4553101238746631,0.005552562486276379,1.0101872410797748,6.303638517499694,4,7.304878048780488,0.25619907974557715,0.9452418210343081,1.3909276314054388,1.4628299433277732,2.714912280327468,2.246012368656411,1.0835245861590372,0.9563774031746797,68.29268292682927
D1,CLOSEFAIL_L55_W6_ACTIVITY_RR15,short,87,42.5287356321839,-0.982931933009292,-0.011298068195509103,0.9798642788934697,12.122981704384088,5,7.908045977011494,0.9074304258633716,0.5327514244582565,1.5987793502208238,1.6963318422386524,2.4873641399103756,2.87115971562582,1.0027580196780825,0.889665337910715,48.275862068965516
