symbol,rows,first,last
AUDJPY,71528,2013-12-31 21:00:00,2025-07-06 23:00:00
CHFJPY,68380,2014-01-01 22:00:00,2024-12-31 00:00:00
EURJPY,66547,2013-12-31 19:00:00,2024-10-25 18:00:00
GBPJPY,72639,2013-01-01 00:00:00,2024-10-25 18:00:00
USDJPY,67331,2013-12-31 21:00:00,2024-10-25 20:00:00
XAGUSD,67944,2013-12-31 21:00:00,2025-07-04 16:00:00
XAUUSD,68113,2013-12-31 21:00:00,2025-07-06 23:00:00
