symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason
EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-21 02:00:00,2015-01-21 03:00:00,136.82,137.36785714285713,2015-01-21 14:00:00,136.63,one_swing_break,0.5478571428571399,0.3468057366362428,1.8617992177313978,-0.2372881355932133,0.4583333333333333,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-21 15:00:00,2015-01-21 16:00:00,95.944,96.89017857142858,2015-01-22 11:00:00,95.588,one_swing_break,0.9461785714285753,0.37625033027592963,0.8169705205148455,-0.020080776054042678,0.7916666666666666,0.68,WideStagnation with short-mid alignment and momentum
GBPJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-22 14:00:00,2015-01-22 15:00:00,177.66,179.27892857142857,2015-01-26 06:00:00,177.07,one_swing_break,1.6189285714285688,0.3644385616589482,1.1921464813589295,-0.506507831458192,3.625,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋安値停滞,V字/急な揺り戻し＋停滞,short,売り,2015-01-23 04:00:00,2015-01-23 05:00:00,94.739,95.61255357142856,2015-01-26 06:00:00,93.166,one_swing_break,0.8735535714285589,1.8006909380813525,2.944295672438157,-0.046934728837463045,3.0416666666666665,0.78,SuddenReversalStagnation with short-mid alignment and momentum
EURJPY,VShapeStagnation,逆V字＋安値停滞,V字/急な揺り戻し＋停滞,short,売り,2015-01-23 05:00:00,2015-01-23 06:00:00,134.14,135.11874999999998,2015-01-26 13:00:00,133.38,one_swing_break,0.9787499999999909,0.776500638569602,4.086845466155849,-0.13282247765008948,3.2916666666666665,0.9,VShapeStagnation with short-mid alignment and momentum
CHFJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-01-26 07:00:00,2015-01-26 08:00:00,134.717,132.99644642857143,2015-01-26 10:00:00,132.99644642857143,initial_stop,1.7205535714285816,-1.0,0.0,-1.1705534971095255,0.08333333333333333,0.68,WideStagnation with short-mid alignment and momentum
EURJPY,SuddenReversalStagnation,急な揺り戻し＋安値停滞,V字/急な揺り戻し＋停滞,short,売り,2015-01-27 03:00:00,2015-01-27 04:00:00,132.81,133.67589285714286,2015-01-27 08:00:00,133.67589285714286,initial_stop,0.8658928571428532,-1.0,0.3811095071148852,-1.3050113425448553,0.16666666666666666,0.78,SuddenReversalStagnation with short-mid alignment and momentum
GBPJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-27 06:00:00,2015-01-27 07:00:00,178.27,179.07714285714286,2015-01-27 17:00:00,179.07714285714286,initial_stop,0.8071428571428498,-1.0,0.5699115044247938,-1.0035398230088615,0.4166666666666667,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-27 13:00:00,2015-01-27 14:00:00,93.287,94.15198214285715,2015-01-28 00:00:00,94.15198214285715,initial_stop,0.8649821428571443,-1.0,0.06011684799439235,-1.143376205123957,0.4166666666666667,0.68,WideStagnation with short-mid alignment and momentum
XAUUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-01-27 13:00:00,2015-01-27 14:00:00,1287.308,1274.8329642857143,2015-01-29 09:00:00,1274.8329642857143,initial_stop,12.475035714285696,-1.0,0.8191559714973672,-1.2416798119673316,1.7916666666666667,0.68,WideStagnation with short-mid alignment and momentum
XAGUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-01-27 14:00:00,2015-01-27 15:00:00,18.041,17.713660714285716,2015-01-29 08:00:00,17.713660714285716,initial_stop,0.3273392857142845,-1.0,0.44602040259669823,-1.0661720582619651,1.7083333333333333,0.68,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-28 08:00:00,2015-01-28 09:00:00,133.57,134.40017857142857,2015-01-29 09:00:00,133.31,one_swing_break,0.8301785714285757,0.3131856313185506,1.4334265433426443,-0.4577328457732768,1.0,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-28 20:00:00,2015-01-28 21:00:00,92.842,94.15660714285714,2015-01-29 23:00:00,92.038,one_swing_break,1.3146071428571418,0.6115895569018467,1.1121193186449,-0.3423075878181991,1.0833333333333333,0.68,WideStagnation with short-mid alignment and momentum
GBPJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-30 01:00:00,2015-01-30 02:00:00,177.87,178.6069642857143,2015-02-03 10:00:00,176.86,one_swing_break,0.7369642857142935,1.370487036588294,3.2566028592197456,-0.16283014296099305,4.333333333333333,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,VShapeStagnation,逆V字＋安値停滞,V字/急な揺り戻し＋停滞,short,売り,2015-01-30 02:00:00,2015-01-30 03:00:00,91.677,92.29460714285715,2015-02-03 13:00:00,90.621,one_swing_break,0.617607142857139,1.7098247845949521,3.738622564043297,-0.5764182038975255,4.416666666666667,0.9,VShapeStagnation with short-mid alignment and momentum
XAUUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-01-30 07:00:00,2015-01-30 08:00:00,1262.26,1253.9111607142856,2015-02-02 02:00:00,1278.969,one_swing_break,8.348839285714348,2.001356048210287,2.6876789972943094,-0.4648550375907754,2.75,0.68,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-30 09:00:00,2015-01-30 10:00:00,133.03,133.80482142857142,2015-02-03 13:00:00,133.80482142857142,initial_stop,0.7748214285714141,-1.0,0.8776215717907604,-2.1424291311362422,4.125,0.68,WideStagnation with short-mid alignment and momentum
XAGUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-03 06:00:00,2015-02-03 07:00:00,17.342,17.120910714285717,2015-02-03 15:00:00,17.120910714285717,initial_stop,0.22108928571428166,-1.0,1.7504240368306618,-1.189564655520569,0.3333333333333333,0.68,WideStagnation with short-mid alignment and momentum
CHFJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-03 10:00:00,2015-02-03 11:00:00,126.948,125.78328571428571,2015-02-09 06:00:00,128.282,one_swing_break,1.1647142857142825,1.1453452716791546,1.8270575248374883,-0.734944192321842,5.791666666666667,0.68,WideStagnation with short-mid alignment and momentum
