symbol,trades,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
EURJPY,620,0.4338709677419355,47.1003169680741,0.07596825317431306,-1.0,1.1345723341944973,-41.43929150905064,1.6377016129032258
XAUUSD,599,0.4006677796327212,36.658046794088975,0.06119874256108343,-1.0,1.1021115509584651,-25.33282413712259,1.76940734557596
AUDJPY,626,0.42971246006389774,20.372957139754725,0.0325446599676593,-1.0,1.0570671068340467,-39.336605266420335,2.0246272630457933
GBPJPY,662,0.4214501510574018,7.333915854075228,0.011078422740294906,-1.0,1.0191486053631207,-40.379620367527686,1.5945367573011076
CHFJPY,599,0.4373956594323873,1.1365870977423072,0.001897474286715037,-1.0,1.0033726620111048,-28.394567761826522,1.903311074012243
XAGUSD,564,0.37056737588652483,-12.695776227360383,-0.02251024153787302,-1.0,0.9642372500637735,-49.51845044471835,1.7550236406619386
