setup,trades,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
SuddenReversalStagnation,715,0.42097902097902096,126.0822192102111,0.17633876812616936,-1.0,1.3045464232130706,-15.47845515257697,1.7127039627039626
SimpleStagnation,129,0.3798449612403101,26.913408496226197,0.20863107361415656,-1.0,1.3364176062028275,-11.859688351674471,1.0849483204134365
VShapeStagnation,220,0.4681818181818182,19.60512105178894,0.08911418659904065,-1.0,1.167565137194777,-15.343675340595027,1.8564393939393944
KeyLevelStagnation,11,0.18181818181818182,-4.127631028169032,-0.3752391843790029,-1.0,0.5413743302034411,-9.0,0.6325757575757577
SecondRangeBreakout,14,0.42857142857142855,-4.575362688301156,-0.3268116205929397,-1.0,0.4280796639623555,-5.324644823605489,4.395833333333333
WideStagnation,2581,0.4134056567222007,-63.99170741538107,-0.024793377534049234,-1.0,0.9577054147948573,-138.54814967372658,1.8158497998191918
