method,symbol,trades,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
急な揺り戻し＋高値停滞,XAUUSD,74,0.4594594594594595,49.827945301028635,0.6733506121760626,-1.0,2.2456986325257158,-7.335767193968811,1.956644144144144
値幅広めの高値停滞,CHFJPY,214,0.48598130841121495,45.12421686979609,0.21086082649437426,-1.0,1.4102201533617826,-11.802468301228169,2.0035046728971966
急な揺り戻し＋高値停滞,XAGUSD,55,0.4727272727272727,25.51585426594215,0.46392462301713,-1.0,1.8798570436531776,-8.137268441027455,1.725
急な揺り戻し＋高値停滞,EURJPY,57,0.49122807017543857,19.320098590596217,0.3389490980806354,-1.0,1.6662102962274563,-6.441025641025696,1.4342105263157894
急な揺り戻し＋安値停滞,EURJPY,62,0.43548387096774194,17.122012166101914,0.27616148655003087,-1.0,1.4892003476029119,-5.988986684266374,1.7405913978494625
安値停滞,GBPJPY,9,0.5555555555555556,15.626823900152942,1.7363137666836603,0.7602885023334532,4.906705975038236,-3.2397114976665478,1.6574074074074074
急な揺り戻し＋安値停滞,XAGUSD,49,0.3469387755102041,12.665593584283918,0.25848150172007994,-1.0,1.3957997995088722,-8.0,1.9098639455782311
急な揺り戻し＋安値停滞,GBPJPY,58,0.39655172413793105,9.412803869155848,0.1622897218819974,-1.0,1.2689372534044527,-6.3108178738698175,1.512212643678161
高値停滞,GBPJPY,27,0.4074074074074074,9.178098540848445,0.33992957558697945,-1.0,1.5736311588030278,-7.303178484107477,1.007716049382716
値幅広めの高値停滞,AUDJPY,247,0.43724696356275305,8.176138680307478,0.03310177603363351,-1.0,1.0588211415849458,-27.176578861245893,2.05414979757085
V字＋高値停滞,XAUUSD,18,0.5555555555555556,7.896669705570959,0.43870387253171994,0.646453952930073,1.9870837131963697,-4.499519166345579,1.7060185185185184
V字＋高値停滞,XAGUSD,14,0.35714285714285715,7.462500030071457,0.5330357164336755,-1.0,1.8291666700079396,-4.0,1.1101190476190474
急な揺り戻し＋高値停滞,AUDJPY,59,0.4406779661016949,6.215710092026573,0.10535101850892496,-1.0,1.1883548512735325,-6.837884410985302,2.2450564971751414
