entry_time,exit_time,direction,entry,sl,tp,exit_price,pnl,pnl_r,bars_held,r_clean,r_after_cost,risk_price,period,year
2014-12-23 13:00:00,2014-12-23 14:00:00,long,4306.23,4297.374651816103,4332.796044551688,4297.374651816103,-8.85534818389624,-0.9999999999999938,0,-0.9999999999999938,-1.3387783221732095,8.85534818389624,Research_2015_2024,2014
2014-12-26 18:00:00,2014-12-26 20:00:00,long,4316.98,4310.0516451642325,4337.765064507301,4310.0516451642325,-6.928354835767095,-0.9999999999999916,1,-0.9999999999999916,-1.433003226756325,6.928354835767095,Research_2015_2024,2014
2015-01-22 19:00:00,2015-01-27 12:00:00,long,4252.98,4226.158771848975,4333.443684453073,4226.158771848975,-26.821228151024116,-0.9999999999999838,63,-0.9999999999999838,-1.1118517013131264,26.821228151024116,Research_2015_2024,2015
2015-02-15 23:00:00,2015-03-02 15:00:00,long,4370.73,4337.598022128197,4470.125933615408,4470.125933615408,99.39593361540847,3.000000000000008,249,3.000000000000008,2.909453036229602,33.13197787180252,Research_2015_2024,2015
2015-05-06 13:00:00,2015-05-07 13:00:00,short,4378.23,4396.08755413033,4324.657337609008,4396.08755413033,-17.857554130330755,-1.0000000000000118,23,-1.0000000000000118,-1.167996130830972,17.857554130330755,Research_2015_2024,2015
2015-05-18 17:00:00,2015-05-19 19:00:00,long,4510.98,4498.476291904023,4548.491124287929,4498.476291904023,-12.503708095976435,-0.999999999999992,25,-0.999999999999992,-1.239928825670944,12.503708095976435,Research_2015_2024,2015
2015-05-27 18:00:00,2015-05-28 13:00:00,long,4542.5,4528.112421268077,4585.662736195769,4528.112421268077,-14.387578731922986,-0.9999999999999899,18,-0.9999999999999899,-1.2085131943252891,14.387578731922986,Research_2015_2024,2015
2015-06-08 14:00:00,2015-06-09 09:00:00,short,4454.23,4467.652612868562,4413.962161394313,4413.962161394313,40.26783860568685,2.999999999999997,18,2.999999999999997,2.776496571168608,13.422612868562283,Research_2015_2024,2015
2015-06-18 14:00:00,2015-06-19 16:00:00,long,4527.23,4509.020725060665,4581.857824818001,4509.020725060665,-18.209274939334136,-1.000000000000009,25,-1.000000000000009,-1.1647512056353118,18.209274939334136,Research_2015_2024,2015
2015-07-05 22:00:00,2015-07-06 05:00:00,short,4364.73,4380.834621024834,4316.416136925497,4380.834621024834,-16.10462102483416,-1.0000000000000093,6,-1.0000000000000093,-1.1862819370523525,16.10462102483416,Research_2015_2024,2015
2015-09-09 05:00:00,2015-09-09 14:00:00,long,4344.0,4323.080757853571,4406.757726439286,4323.080757853571,-20.919242146428587,-0.9999999999999987,8,-0.9999999999999987,-1.1434086368426182,20.919242146428587,Research_2015_2024,2015
2015-09-22 16:00:00,2015-09-22 19:00:00,short,4224.98,4254.003484128778,4137.909547613664,4254.003484128778,-29.023484128778364,-0.9999999999999925,2,-0.9999999999999925,-1.103364571485927,29.023484128778364,Research_2015_2024,2015
2015-10-08 19:00:00,2015-10-16 08:00:00,long,4339.23,4311.160773655538,4423.437679033385,4423.437679033385,84.20767903338583,3.000000000000012,131,3.000000000000012,2.8931213862760563,28.06922634446164,Research_2015_2024,2015
2015-11-02 19:00:00,2015-11-03 13:00:00,long,4691.98,4678.483049366202,4732.470851901393,4678.483049366202,-13.496950633797496,-0.9999999999999835,17,-0.9999999999999835,-1.222272428891273,13.496950633797496,Research_2015_2024,2015
2015-12-01 14:00:00,2015-12-01 15:00:00,long,4708.0,4694.55986829816,4748.320395105521,4694.55986829816,-13.440131701840073,-0.9999999999999672,0,-0.9999999999999672,-1.223212098404425,13.440131701840073,Research_2015_2024,2015
2015-12-03 18:00:00,2015-12-04 08:00:00,short,4604.0,4631.739055471721,4520.782833584835,4631.739055471721,-27.739055471721258,-0.999999999999986,13,-0.999999999999986,-1.1081507624892988,27.739055471721258,Research_2015_2024,2015
2015-12-29 18:00:00,2015-12-30 14:00:00,long,4691.0,4677.126382688928,4732.620851933217,4677.126382688928,-13.87361731107194,-0.9999999999999865,19,-0.9999999999999865,-1.216237765013573,13.87361731107194,Research_2015_2024,2015
2016-01-13 19:00:00,2016-01-14 17:00:00,short,4199.0,4239.543930730151,4077.3682078095453,4239.543930730151,-40.54393073015126,-0.9999999999999921,21,-0.9999999999999921,-1.0739938122913344,40.54393073015126,Research_2015_2024,2016
2016-01-29 20:00:00,2016-02-01 15:00:00,long,4263.48,4228.454180130527,4368.557459608417,4228.454180130527,-35.0258198694728,-1.0000000000000078,18,-1.0000000000000078,-1.085651099993664,35.0258198694728,Research_2015_2024,2016
2016-02-05 15:00:00,2016-02-08 09:00:00,short,4063.73,4100.75845796858,3952.6446260942616,3952.6446260942616,111.08537390573838,2.999999999999998,17,2.999999999999998,2.918981233230244,37.028457968579914,Research_2015_2024,2016
2016-02-17 21:00:00,2016-02-18 08:00:00,long,4208.75,4183.838573193032,4283.484280420904,4183.838573193032,-24.91142680696794,-1.0000000000000056,10,-1.0000000000000056,-1.1204266629625972,24.91142680696794,Research_2015_2024,2016
2016-02-25 20:00:00,2016-02-29 04:00:00,long,4239.48,4209.580455393598,4329.178633819205,4209.580455393598,-29.899544606401832,-1.0,30,-1.0,-1.1003359763331535,29.899544606401832,Research_2015_2024,2016
2016-03-01 16:00:00,2016-03-07 19:00:00,long,4298.48,4271.582004896133,4379.173985311599,4271.582004896133,-26.89799510386638,-0.9999999999999999,97,-0.9999999999999999,-1.111532476246483,26.89799510386638,Research_2015_2024,2016
2016-03-11 20:00:00,2016-03-15 08:00:00,long,4359.5,4338.5620059365465,4422.31398219036,4338.5620059365465,-20.937994063453516,-1.0000000000000204,35,-1.0000000000000204,-1.1432802010980037,20.937994063453516,Research_2015_2024,2016
2016-03-29 17:00:00,2016-03-30 13:00:00,long,4441.98,4423.912004350573,4496.18398694828,4496.18398694828,54.203986948280544,3.0000000000000053,19,3.0000000000000053,2.8339605533337027,18.067995649426848,Research_2015_2024,2016
2016-04-26 20:00:00,2016-04-27 20:00:00,short,4409.75,4431.033393234263,4345.899820297211,4431.033393234263,-21.283393234262803,-0.9999999999999915,23,-0.9999999999999915,-1.14095496742363,21.283393234262803,Research_2015_2024,2016
2016-06-16 06:00:00,2016-06-16 16:00:00,short,4384.75,4398.554916725043,4343.335249824872,4398.554916725043,-13.804916725042858,-1.0000000000000302,9,-1.0000000000000302,-1.217313878797853,13.804916725042858,Research_2015_2024,2016
2016-06-24 02:00:00,2016-06-24 13:00:00,short,4296.5,4339.016915416038,4168.949253751887,4339.016915416038,-42.51691541603759,-1.0000000000000004,10,-1.0000000000000004,-1.0705601516630345,42.51691541603759,Research_2015_2024,2016
2016-07-18 14:00:00,2016-07-19 07:00:00,long,4612.73,4598.324841428966,4655.945475713101,4598.324841428966,-14.405158571034008,-1.0000000000000238,16,-1.0000000000000238,-1.2082587279554675,14.405158571034008,Research_2015_2024,2016
2016-07-26 13:00:00,2016-07-26 14:00:00,long,4677.5,4666.0222542199535,4711.93323734014,4666.0222542199535,-11.477745780046462,-0.9999999999999779,0,-0.9999999999999779,-1.261375365641493,11.477745780046462,Research_2015_2024,2016
2016-08-15 01:00:00,2016-08-15 17:00:00,long,4811.5,4804.037542064982,4833.887373805056,4833.887373805056,22.387373805056086,2.9999999999999876,15,2.9999999999999876,2.5979876836662266,7.462457935018392,Research_2015_2024,2016
2016-09-21 19:00:00,2016-09-26 07:00:00,long,4847.23,4828.74399802596,4902.68800592212,4828.74399802596,-18.486001974039937,-0.9999999999999797,59,-0.9999999999999797,-1.1622849550818264,18.486001974039937,Research_2015_2024,2016
2016-10-10 13:00:00,2016-10-11 03:00:00,long,4896.48,4883.876842593641,4934.289472219075,4883.876842593641,-12.60315740635815,-0.9999999999999656,13,-0.9999999999999656,-1.2380355892790882,12.60315740635815,Research_2015_2024,2016
2016-10-24 19:00:00,2016-10-25 14:00:00,long,4903.23,4892.2421015634,4936.193695309799,4892.2421015634,-10.987898436599608,-0.9999999999999738,18,-0.9999999999999738,-1.2730276419380622,10.987898436599608,Research_2015_2024,2016
2016-11-01 14:00:00,2016-11-01 17:00:00,short,4784.73,4798.084649252535,4744.666052242392,4744.666052242392,40.06394775760782,2.9999999999999916,2,2.9999999999999916,2.7753591319943873,13.354649252535637,Research_2015_2024,2016
2016-11-29 16:00:00,2016-11-29 20:00:00,long,4896.48,4881.732041839198,4940.723874482404,4881.732041839198,-14.747958160801318,-0.9999999999999882,3,-0.9999999999999882,-1.2034179896152366,14.747958160801318,Research_2015_2024,2016
2016-12-11 23:00:00,2016-12-12 02:00:00,long,4900.73,4887.344969496732,4940.885091509801,4887.344969496732,-13.385030503267444,-1.000000000000013,2,-1.000000000000013,-1.2241309796991378,13.385030503267444,Research_2015_2024,2016
2016-12-13 14:00:00,2016-12-14 19:00:00,long,4933.48,4918.464493518439,4978.526519444682,4918.464493518439,-15.015506481560806,-0.9999999999999936,28,-0.9999999999999936,-1.1997934604259892,15.015506481560806,Research_2015_2024,2016
2016-12-27 14:00:00,2016-12-27 16:00:00,long,4989.5,4979.246518960631,5020.260443118106,4979.246518960631,-10.253481039369035,-1.000000000000031,1,-1.000000000000031,-1.2925835614735703,10.253481039369035,Research_2015_2024,2016
2016-12-29 16:00:00,2016-12-29 17:00:00,short,4904.48,4916.0213436507365,4869.855969047788,4916.0213436507365,-11.541343650736962,-0.9999999999999649,0,-0.9999999999999649,-1.2599350726211183,11.541343650736962,Research_2015_2024,2016
2017-01-06 16:00:00,2017-01-10 16:00:00,long,5000.73,4988.580917098943,5037.177248703169,5037.177248703169,36.44724870316986,2.999999999999998,46,2.999999999999998,2.7530677809648343,12.149082901056317,Research_2015_2024,2017
2017-01-13 14:00:00,2017-01-16 08:00:00,long,5053.48,5043.736864425044,5082.709406724867,5043.736864425044,-9.743135574955886,-1.0000000000000062,17,-1.0000000000000062,-1.3079090891141216,9.743135574955886,Research_2015_2024,2017
2017-01-19 14:00:00,2017-01-19 15:00:00,long,5072.75,5062.89202981553,5102.323910553409,5062.89202981553,-9.857970184470105,-1.0000000000000302,0,-1.0000000000000302,-1.30432228378276,9.857970184470105,Research_2015_2024,2017
2017-01-24 18:00:00,2017-01-25 14:00:00,long,5091.98,5081.2952233923625,5124.03432982291,5124.03432982291,32.054329822910404,2.9999999999999787,19,2.9999999999999787,2.7192266988665037,10.684776607637104,Research_2015_2024,2017
2017-03-15 18:00:00,2017-03-16 15:00:00,long,5414.0,5402.4614271748915,5448.615718475325,5402.4614271748915,-11.538572825108531,-1.0000000000000258,20,-1.0000000000000258,-1.2599974923650992,11.538572825108531,Research_2015_2024,2017
2017-03-21 19:00:00,2017-03-22 15:00:00,short,5333.73,5355.339581675724,5268.901254972826,5355.339581675724,-21.609581675724257,-0.9999999999999915,18,-0.9999999999999915,-1.1388273056377556,21.609581675724257,Research_2015_2024,2017
2017-03-30 00:00:00,2017-03-30 08:00:00,long,5445.48,5434.80687281624,5477.499381551278,5434.80687281624,-10.673127183759789,-1.000000000000022,7,-1.000000000000022,-1.2810797574458805,10.673127183759789,Research_2015_2024,2017
2017-04-05 13:00:00,2017-04-05 19:00:00,long,5458.75,5447.588432603409,5492.234702189773,5447.588432603409,-11.161567396590726,-0.9999999999999853,5,-0.9999999999999853,-1.26877945483859,11.161567396590726,Research_2015_2024,2017
2017-05-05 19:00:00,2017-05-09 14:00:00,long,5642.98,5631.470129787441,5677.509610637677,5677.509610637677,34.52961063767725,3.000000000000002,42,3.000000000000002,2.7393541417411833,11.50987021255878,Research_2015_2024,2017
2017-05-12 20:00:00,2017-05-16 14:00:00,long,5690.25,5680.8510639056485,5718.4468082830535,5718.4468082830535,28.196808283053542,2.9999999999999583,39,2.9999999999999583,2.6808149380009816,9.398936094351484,Research_2015_2024,2017
2017-05-24 19:00:00,2017-05-25 14:00:00,long,5730.5,5720.046975997121,5761.859072008638,5761.859072008638,31.359072008637668,2.9999999999999756,17,2.9999999999999756,2.7130017113541487,10.45302400287892,Research_2015_2024,2017
