sample,exit_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
primary_L120_ADX30_RISK1_5_BBW3_8,base_fixed_2R,18,61.111111111111114,13.60967396314572,0.75609299795254,2.779085717270389,3.406763132639054,3
primary_L120_ADX30_RISK1_5_BBW3_8,fixed_1_5R,18,61.111111111111114,8.109673963145697,0.4505374423969832,2.060113942378179,3.767664074024121,3
primary_L120_ADX30_RISK1_5_BBW3_8,fixed_2R_no_1R_by_6bars,18,55.55555555555556,8.751936596554625,0.4862186998085903,2.174409092712783,5.0882129050111535,5
primary_L120_ADX30_RISK1_5_BBW3_8,fixed_2R_no_1R_by_12bars,18,61.111111111111114,13.60967396314571,0.7560929979525395,2.7790857172703873,3.406763132639054,3
primary_L120_ADX30_RISK1_5_BBW3_8,BE_after_1R_to_2R,18,27.77777777777778,3.6096739631457098,0.20053744239698387,1.5974682510521478,4.007884551362067,6
primary_L120_ADX30_RISK1_5_BBW3_8,half_1R_BE_rest_2R,18,72.22222222222221,5.10967396314571,0.2838707757303172,1.9779084224248018,2.637327955905977,2
primary_L120_ADX30_RISK1_5_BBW3_8,half_1R_trail1ATR_rest_2R,18,72.22222222222221,5.388766072548979,0.2993758929193877,2.0313221091661253,2.637327955905977,2
primary_L120_ADX30_RISK1_5_BBW3_8,exit_if_mid_retest_within_6,18,44.44444444444444,9.378437622700867,0.5210243123722704,2.53390299859425,4.542211321005427,7
practical_all_lookbacks,base_fixed_2R,198,41.91919191919192,38.65572027789883,0.19523091049443853,1.3158462502226982,42.520173344435776,39
practical_all_lookbacks,fixed_1_5R,198,43.93939393939394,7.155720277898897,0.036140001403529784,1.0608874931343553,48.25286999891972,39
practical_all_lookbacks,fixed_2R_no_1R_by_6bars,198,32.82828282828283,-16.55052084290235,-0.08358848910556743,0.8480885018129365,64.32609251178913,43
practical_all_lookbacks,fixed_2R_no_1R_by_12bars,198,44.94949494949495,50.91493260125967,0.25714612424878625,1.455596813541865,42.52017334443579,39
practical_all_lookbacks,BE_after_1R_to_2R,198,18.68686868686869,-19.344279722101216,-0.09769838243485462,0.7876163851725935,36.767434128285565,60
practical_all_lookbacks,half_1R_BE_rest_2R,198,59.09090909090909,2.155720277898783,0.010887476151003956,1.0258198691370048,20.543728655223234,14
practical_all_lookbacks,half_1R_trail1ATR_rest_2R,198,59.09090909090909,-1.5645734750011786,-0.00790188623737969,0.9812605175198634,21.42137301236074,14
practical_all_lookbacks,exit_if_mid_retest_within_6,198,25.757575757575758,13.85592346964965,0.06997941146287702,1.1633349615604056,35.456575898272035,39
support_age_60_119_practical,base_fixed_2R,26,69.23076923076923,26.91705222569511,1.0352712394498118,4.195592168776584,6.381395518674566,6
support_age_60_119_practical,fixed_1_5R,26,69.23076923076923,17.917052225695127,0.6891173932959664,3.1271122595414087,6.381395518674566,6
support_age_60_119_practical,fixed_2R_no_1R_by_6bars,26,69.23076923076923,16.79059137656141,0.6457919760215927,3.5971657892584084,6.381395518674566,6
support_age_60_119_practical,fixed_2R_no_1R_by_12bars,26,76.92307692307693,30.066161446473824,1.156390824864378,5.711533920517537,6.381395518674566,6
support_age_60_119_practical,BE_after_1R_to_2R,26,46.15384615384615,14.917052225695095,0.5737327779113498,2.7079578529506585,8.650861968817448,11
support_age_60_119_practical,half_1R_BE_rest_2R,26,69.23076923076923,11.917052225695095,0.4583481625267344,2.4147923200512857,7.628502539213034,6
support_age_60_119_practical,half_1R_trail1ATR_rest_2R,26,69.23076923076923,12.266250959636203,0.47177888306293086,2.456249190223112,7.628502539213034,6
support_age_60_119_practical,exit_if_mid_retest_within_6,26,38.46153846153847,11.170770405000228,0.42964501557693185,2.3375651178942443,4.9495232394135025,10
