sample,group,bucket,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,hit_1r_within_3_rate,hit_1r_within_6_rate,retest_mid_6_rate,giveback_1r_to_loss_rate
primary_L120_ADX30_RISK1_5_BBW3_8,symbol,GBPJPY,4,100.0,7.92461498008352,1.98115374502088,inf,0.0,0,2.1976906034419166,25.0,50.0,50.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,symbol,CHFJPY,3,66.66666666666666,2.829627537204873,0.9432091790682909,3.7243705746250266,0.0,1,1.7488691130823775,66.66666666666666,66.66666666666666,33.33333333333333,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,symbol,SILVER,4,50.0,1.1536181969514983,0.28840454923787456,1.475775987484055,2.4247087438185613,2,2.021788932070089,25.0,75.0,25.0,50.0
primary_L120_ADX30_RISK1_5_BBW3_8,symbol,EURJPY,2,50.0,0.9379891229298176,0.4689945614649088,1.9022149925498935,0.0,1,1.1684160949305915,50.0,50.0,50.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,symbol,XAUUSD,2,50.0,0.8623824341806088,0.4311912170903044,1.801710209551639,1.0756784981731753,1,1.0079938181054047,50.0,50.0,100.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,symbol,AUDJPY,3,33.33333333333333,-0.09855830820459865,-0.03285276940153289,0.9524134861221829,1.0635659197790948,2,0.8125883458546473,33.33333333333333,33.33333333333333,66.66666666666666,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,period,train_2015_2020,11,54.54545454545454,5.897620562874117,0.536147323897647,2.0766201895898977,3.406763132639054,3,1.4821535395050178,18.181818181818183,36.36363636363637,72.72727272727273,9.090909090909092
primary_L120_ADX30_RISK1_5_BBW3_8,period,test_2021_2024,6,66.66666666666666,5.727679925988072,0.954613320998012,3.637161567984886,1.0396514474657723,2,1.7637195076817733,83.33333333333334,83.33333333333334,16.666666666666664,16.666666666666664
primary_L120_ADX30_RISK1_5_BBW3_8,period,oos_2025_2026,1,100.0,1.9843734742835315,1.9843734742835315,inf,0.0,0,2.0291043642852507,0.0,100.0,0.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,zone_range_bucket,02_wide_0.70-1.00,17,58.82352941176471,11.63203339275013,0.6842372583970664,2.520564307998361,3.406763132639054,3,1.5746238295826935,35.294117647058826,52.94117647058824,52.94117647058824,11.76470588235294
primary_L120_ADX30_RISK1_5_BBW3_8,zone_range_bucket,01_mid_0.40-0.70,1,100.0,1.97764057039559,1.97764057039559,inf,0.0,0,2.146505242025295,100.0,100.0,0.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,break_depth_bucket,02_strong_0.20-0.40,7,71.42857142857143,7.562045547685321,1.080292221097903,4.651152215930813,2.0711394925389266,2,1.6128856669936418,57.14285714285714,71.42857142857143,42.857142857142854,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,break_depth_bucket,01_clean_0.05-0.20,8,50.0,3.371144795926986,0.4213930994908732,1.7865067784356357,2.1719108891628203,2,1.5104723512089524,37.5,37.5,62.5,12.5
primary_L120_ADX30_RISK1_5_BBW3_8,break_depth_bucket,03_too_deep_>0.40,3,66.66666666666666,2.6764836195334136,0.8921612065111378,3.0708615921259375,1.292449302121513,1,1.8470439554346594,0.0,66.66666666666666,33.33333333333333,33.33333333333333
