symbol,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,r_after_cost,rr,shelf_bars,shelf_range_atr,drop_atr,risk_atr,is_oos
NAS100,2017-05-24 09:00:00,2017-05-24 13:00:00,2017-05-25 17:00:00,5720.4,5672.609433478434,5792.085849782348,5792.085849782348,target,1.4581507367338387,1.5,7,1.7901643475491262,7.055247977975045,2.2163981434217903,False
NAS100,2017-06-26 06:00:00,2017-06-26 10:00:00,2017-06-27 05:00:00,5827.2,5752.674408407027,5938.98838738946,5752.674408407027,stop,-1.0268364189703203,1.5,7,1.4705926910402642,3.7317885014343912,2.4116467553359358,False
NAS100,2017-07-14 09:00:00,2017-07-14 13:00:00,2017-07-19 13:00:00,5825.3,5771.466496011741,5906.050255982389,5906.050255982389,target,1.4628484149863878,1.5,7,1.4536098765698995,6.305961672283045,2.268200379353597,False
NAS100,2017-11-24 10:00:00,2017-11-24 14:00:00,2017-11-29 14:00:00,6396.2,6369.275695298039,6436.586457052941,6369.275695298039,stop,-1.0742823267727446,1.5,7,1.262161386723538,4.532881617954031,2.0876054832526396,False
NAS100,2017-12-11 15:00:00,2017-12-11 19:00:00,2017-12-17 23:00:00,6395.4,6329.225410814629,6494.661883778055,6494.661883778055,target,1.4697769185329133,1.5,7,1.6705040605124497,3.8735211053078045,2.4420148356841778,False
NAS100,2018-03-08 10:00:00,2018-03-08 14:00:00,2018-03-11 22:00:00,6961.0,6843.767249606471,7136.849125590294,7136.849125590294,target,1.482939920855846,1.5,7,1.5145955769262185,5.1442185374801515,2.456113354577181,False
NAS100,2018-05-09 13:00:00,2018-05-09 17:00:00,2018-05-14 10:00:00,6869.2,6787.128153700273,6992.30776944959,6992.30776944959,target,1.4756311074970094,1.5,7,1.3031212514493062,4.930770895680579,2.14357407468176,False
NAS100,2018-06-01 09:00:00,2018-06-01 13:00:00,2018-06-03 22:00:00,7012.4,6960.539189236475,7090.1912161452865,7090.1912161452865,target,1.4614352346105883,1.5,7,1.1561297616432369,4.9891318459817695,1.7613824220462844,False
NAS100,2018-07-23 21:00:00,2018-07-24 01:00:00,2018-07-27 13:00:00,7421.8,7356.606605842241,7519.590091236639,7356.606605842241,stop,-1.0306779548118061,1.5,7,1.7731228329763253,3.2884740357279854,1.9189440919270109,False
NAS100,2018-11-02 01:00:00,2018-11-02 05:00:00,2018-11-05 15:00:00,7061.0,6888.633049202828,7319.550426195758,6888.633049202828,stop,-1.0116031524068292,1.5,7,1.6913147122074812,3.664465018991168,2.2022714804149257,False
