stage,rr,trades,win_rate,total_r,avg_r,pf,tp_rate
I4 61.8%回復,2.0,173,38.2,12.4,0.072,1.12,32.9
I5 急落条件を緩和,2.0,390,40.5,54.86,0.141,1.24,34.9
T5 停滞または再ブレイク,2.0,252,44.8,41.9,0.166,1.33,27.8
I4 61.8%回復,2.5,168,35.7,18.45,0.11,1.17,25.0
I5 急落条件を緩和,2.5,374,36.9,58.4,0.156,1.25,27.0
T5 停滞または再ブレイク,2.5,249,43.0,47.67,0.191,1.37,20.1
