timeframe,strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,RS120_RECLAIM_RR2,CHFJPY,21,57.14285714285714,11.383846017261948,0.5420879055839023,2.2520587742086335,2.0270943515552498,3,107.0
H4,RS120_BODY45_CLOSE60_RR2,CHFJPY,15,60.0,8.445087871718359,0.5630058581145573,2.3941815819169068,2.0270943515552498,2,115.6
H4,RS120_BODY45_CLOSE60_RR15,CHFJPY,16,62.5,8.004797533330182,0.5002998458331364,2.3213538227143764,2.0270943515552498,2,85.8125
H4,RS120_RECLAIM_RR2,GBPJPY,22,50.0,7.49899188710544,0.3408632675957018,1.7540558878311163,3.036651499457583,3,94.22727272727273
H4,RS100_BODY45_CLOSE60_RR15,EURJPY,26,53.84615384615385,7.415466309612173,0.28521024267739126,1.6144227478328996,3.4392432892296774,3,78.26923076923077
H4,RS120_RECLAIM_RR15,GBPJPY,22,54.54545454545454,7.045508942351001,0.3202504064705,1.7882068195866674,3.036651499457583,3,83.04545454545455
H4,RS120_RECLAIM_RR15,CHFJPY,22,54.54545454545454,6.944623018489507,0.31566468265861397,1.6874937937808496,3.029716762479583,3,84.04545454545455
H4,RS120_RECLAIM_RR1,GBPJPY,25,64.0,6.882683340171411,0.27530733360685644,1.809592865749769,2.0338508809812965,2,48.2
H4,RS120_UPREG_BODY45_CLOSE60_RR15,CHFJPY,9,77.77777777777779,6.475029835650332,0.7194477595167036,4.190441033445825,1.021923564385623,1,84.33333333333333
H4,RS100_RECLAIM_RR15,AUDJPY,28,50.0,6.368353612632262,0.2274412004511522,1.4730803615408212,3.3889681752282206,4,62.67857142857143
H4,RS120_UPREG_BODY45_CLOSE60_RR15,USDJPY,6,83.33333333333334,6.145695303456992,1.0242825505761652,7.085321186086976,0.0,1,94.0
H4,RS120_UPREG_BODY45_CLOSE60_STRETCH35_RR15,USDJPY,6,83.33333333333334,6.145695303456992,1.0242825505761652,7.085321186086976,0.0,1,94.0
H4,RS100_RECLAIM_RR2,CHFJPY,31,45.16129032258064,6.135110298158748,0.19790678381157253,1.3559354866185702,4.180478329966293,4,104.03225806451613
H4,RS100_BODY45_CLOSE60_RR15,AUDJPY,22,50.0,5.986021952804091,0.2720919069456405,1.5736631154975296,2.3764660299399187,3,61.68181818181818
H4,RS120_RECLAIM_RR1,CHFJPY,24,62.5,5.75855547751971,0.23993981156332125,1.6337284643515309,2.0463346022791877,3,47.083333333333336
H4,RS120_BODY45_CLOSE60_RR2,AUDJPY,17,47.05882352941176,5.33722274867884,0.31395427933404946,1.634402258987485,2.3764660299399183,3,79.47058823529412
H4,RS100_BODY45_CLOSE60_RR15,CHFJPY,23,52.17391304347826,5.313596109938862,0.2310259178234288,1.4765348806991347,3.0422893040550703,3,90.08695652173913
H4,RS100_RECLAIM_RR2,AUDJPY,28,46.42857142857143,5.200011533869784,0.18571469763820656,1.3593269223818183,4.399038865868485,5,83.67857142857143
H4,RS100_BODY45_CLOSE60_RR15,SILVER,22,50.0,5.196086906223687,0.23618576846471306,1.474214785374368,2.0722651639486105,2,61.36363636363637
H4,RS100_RECLAIM_RR2,SILVER,22,40.909090909090914,4.953929775956308,0.22517862617983217,1.4011098647536688,3.0324387157445543,4,84.77272727272727
