timeframe,strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,114,48.24561403508772,17.93611996353888,0.15733438564507787,1.3173250595797596,9.626330446675315,8,79.21929824561404
H4,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,165,46.06060606060606,17.44351752791487,0.10571828804796891,1.205410891790003,13.941961386316525,9,78.55151515151515
H4,RS120_BODY45_CLOSE60_RR2,Research_2015_2024,113,42.47787610619469,15.120409243602253,0.133808931359312,1.2485511689124136,11.939034095145924,10,97.20353982300885
H4,RS120_RECLAIM_RR15,Research_2015_2024,132,45.45454545454545,12.32167406997965,0.09334601568166402,1.1770334625059795,9.624968140145691,7,76.0530303030303
H4,RS100_RECLAIM_RR15,OOS_2025_2026,30,60.0,11.20469108005265,0.37348970266842163,1.9769372061317694,4.233478749472019,3,89.86666666666666
H4,RS120_RECLAIM_RR2,OOS_2025_2026,18,61.111111111111114,11.116702907934208,0.6175946059963449,2.7220923034312077,2.007588111145445,2,112.27777777777777
H4,RS100_RECLAIM_RR2,OOS_2025_2026,28,57.14285714285714,10.880265339523906,0.38858090498299663,1.9486505202887634,4.233478749472019,3,107.21428571428571
H4,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,24,62.5,10.809267761748034,0.4503861567395014,2.2781430761912804,2.6550319021865008,2,88.41666666666667
H4,RS120_RECLAIM_RR2,Research_2015_2024,131,40.458015267175576,10.144022332390485,0.07743528498008004,1.1372416051513317,12.817219569822017,9,93.10687022900764
H4,RS120_BODY45_CLOSE60_RR2,OOS_2025_2026,15,60.0,9.70621992236706,0.647081328157804,2.781760470756791,2.007588111145445,2,105.86666666666666
H4,RS120_RECLAIM_RR15,OOS_2025_2026,19,63.1578947368421,9.464974972644358,0.4981565775075978,2.466222556053607,2.007588111145445,2,92.26315789473684
H4,RS120_RECLAIM_RR1,Research_2015_2024,137,54.01459854014598,8.982431795308825,0.0655651955861958,1.1432192938920551,12.141706371741092,8,53.47445255474452
H4,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,43,51.162790697674424,8.830531632247826,0.20536120074994946,1.425993527925089,5.074142290900922,5,70.46511627906976
H4,RS100_RECLAIM_RR15,Research_2015_2024,191,43.455497382198956,8.807959482184165,0.04611497111091186,1.0846959091288388,16.488639511624058,7,75.19371727748691
H4,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,16,62.5,8.554095780933954,0.5346309863083721,2.570266267140035,2.007588111145445,2,83.25
D1,RS100_RECLAIM_RR15,Research_2015_2024,42,52.38095238095239,6.4664428505866605,0.1539629250139681,1.4624707854174195,5.4635443957195555,4,43.73809523809524
