period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
Research_2015_2024,88,50.0,19.696054424423732,0.22381880027754242,1.4764681635634118,9.091198892118452,9,80.73863636363636
OOS_2025_2026,15,60.0,7.056695868587214,0.4704463912391476,2.295390157380155,2.007588111145445,2,78.8
