symbol,timeframe,strategy,note,signal_time,period,pair_key,v_start_i,v_extreme_i,v_start,v_extreme,trigger_level,v_move_atr,v_move_bars,v_recovery_bars,drop_speed_atr_per_bar,recovery_speed_atr_per_bar,right_left_speed_ratio,fib_ratio_at_signal,close_location,body_ratio,ema50_stretch_atr,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,year
AUDJPY,D1,RS100_BODY45_CLOSE60_RR15,RS100に実体45%以上、終値位置60%以上を追加、RR1.5,2015-10-09 00:00:00,Research_2015_2024,536-546,536,546,87.507,82.823,87.507,4.081072667080493,10,9,0.40810726670804925,0.5194761346321727,1.2728911661447926,1.145602049530313,0.8906976744185998,0.8116279069767469,1.4642651268086357,2015-10-11 00:00:00,87.92,82.53606563359045,96.6684015496143,2015-12-20 00:00:00,86.942,max_hold,60,5.383934366409548,-0.1816515457732483,-0.18397326798404945,2015
USDJPY,D1,RS100_BODY45_CLOSE60_RR15,RS100に実体45%以上、終値位置60%以上を追加、RR1.5,2015-10-22 00:00:00,Research_2015_2024,552-560,552,560,120.568,118.063,120.568,3.5322908976848937,8,6,0.4415363622106117,0.6639202785069763,1.5036593479707296,1.127744510978047,0.9549887471868056,0.7711927981995551,0.6544532549688039,2015-10-23 00:00:00,120.887,117.88570712743098,125.39143930885355,2016-01-03 00:00:00,120.316,max_hold,60,3.0012928725690244,-0.19025134308576744,-0.19358324051283565,2015
CHFJPY,D1,RS100_BODY45_CLOSE60_RR15,RS100に実体45%以上、終値位置60%以上を追加、RR1.5,2015-12-08 00:00:00,Research_2015_2024,580-596,580,596,123.389,118.726,123.389,5.078076640481078,16,9,0.3173797900300674,0.6132364098924897,1.9321848118759988,1.086853956680249,0.7622682660850566,0.637949836423111,1.6130399331757597,2015-12-09 00:00:00,123.793,118.49643473690276,131.74034789464585,2016-01-05 00:00:00,118.49643473690276,SL,22,5.29656526309725,-1.0,-1.003776032014437,2015
SILVER,D1,RS100_BODY45_CLOSE60_RR15,RS100に実体45%以上、終値位置60%以上を追加、RR1.5,2016-06-15 00:00:00,Research_2015_2024,736-750,736,750,17.379,15.808,17.379,5.47342204731584,14,12,0.3909587176654172,0.5028626663458001,1.286229577763631,1.1024824952259693,0.7806691449814103,0.6208178438661593,3.09695855958383,2016-06-16 00:00:00,17.541,15.736244159393372,20.24563376090994,2016-07-04 00:00:00,20.24563376090994,TP,15,1.804755840606628,1.4986147710711035,1.4792215660665775,2016
USDJPY,D1,RS100_BODY45_CLOSE60_RR15,RS100に実体45%以上、終値位置60%以上を追加、RR1.5,2016-10-05 00:00:00,Research_2015_2024,846-857,846,857,103.357,100.085,103.357,3.689391411557104,11,7,0.335399219232464,0.5418753365559769,1.615612993363604,1.0281173594132025,0.7813440320962853,0.5817452357071197,1.5644940958892048,2016-10-06 00:00:00,103.449,99.86328321564429,108.82757517653357,2016-11-15 00:00:00,108.82757517653357,TP,34,3.5857167843557107,1.500000000000002,1.497211157321846,2016
EURJPY,D1,RS100_BODY45_CLOSE60_RR15,RS100に実体45%以上、終値位置60%以上を追加、RR1.5,2017-03-09 00:00:00,Research_2015_2024,968-982,968,982,121.31,118.24,121.31,3.8350298120473902,14,9,0.27393070086052784,0.4802462232965606,1.7531668476293885,1.1270358306188923,0.9097744360902327,0.8120300751879697,1.3782853622932316,2017-03-10 00:00:00,121.72,118.03987117764014,127.1901932335398,2017-04-04 00:00:00,118.03987117764014,SL,21,3.680128822359862,-1.0,-1.0033966202280857,2017
USDJPY,D1,RS100_BODY45_CLOSE60_RR15,RS100に実体45%以上、終値位置60%以上を追加、RR1.5,2017-03-09 00:00:00,Research_2015_2024,978-989,978,989,114.957,111.69,114.957,3.765752496577603,11,8,0.3423411360525094,0.4973744114702286,1.4528619528619537,1.0566268748086938,0.9395405078597373,0.8827085852478734,1.7018918946084527,2017-03-10 00:00:00,115.142,111.47311107786763,120.64533338319855,2017-03-21 00:00:00,111.47311107786763,SL,9,3.6688889221323677,-1.0,-1.002725620811158,2017
EURJPY,D1,RS100_BODY45_CLOSE60_RR15,RS100に実体45%以上、終値位置60%以上を追加、RR1.5,2017-05-04 00:00:00,Research_2015_2024,994-1023,994,1023,122.86,114.84,122.86,8.145100390911653,29,16,0.28086553072109144,0.5535012111030988,1.9706982543640907,1.0872817955112224,0.9509803921568654,0.7450980392156942,3.9351350361963626,2017-05-05 00:00:00,123.55,114.59383974367742,137.00924038448386,2017-07-14 00:00:00,129.05,max_hold,60,8.956160256322576,0.6141024549127853,0.6127067675152574,2017
XAUUSD,D1,RS100_BODY45_CLOSE60_RR15,RS100に実体45%以上、終値位置60%以上を追加、RR1.5,2017-07-26 00:00:00,Research_2015_2024,1080-1094,1080,1094,1258.811,1204.832,1258.811,5.145758652260275,14,14,0.3675541894471625,0.3771347438211267,1.0260656922136415,1.0260656922136415,0.8336451433483362,0.682054912271831,1.54440756359425,2017-07-27 00:00:00,1260.222,1202.2095004014088,1347.230749397887,2017-09-07 00:00:00,1347.230749397887,TP,36,58.01249959859115,1.4998276233558465,1.4937944408103276,2017
USDJPY,D1,RS100_BODY45_CLOSE60_RR15,RS100に実体45%以上、終値位置60%以上を追加、RR1.5,2017-09-15 00:00:00,Research_2015_2024,1147-1154,1147,1154,110.67,107.318,110.67,3.456046374093661,7,6,0.49372091058480877,0.6028147712967648,1.2209626093874273,1.0465393794749378,0.6452513966480384,0.6194134078212284,0.8140995094366692,2017-09-17 00:00:00,111.055,107.07552640176313,116.4517103973553,2017-11-26 00:00:00,111.662,max_hold,60,3.979473598236879,0.1525327370607341,0.15001984188675394,2017
