period,direction,method,events,win_rate_2r,sl_rate,avg_r_2r,total_r_2r,pf_2r,max_dd_r,max_losing_streak,avg_mfe_24,avg_mfe_48,avg_mfe_120,avg_mae_24,avg_mae_48,avg_mae_120,tp1_rate_120,tp2_rate_120,tp3_rate_120,avg_wave5_ext_wave1_120,median_wave5_ext_wave1_120
OOS_2025_2026,long,ALL_PIVOT_BREAKOUT,727,22.145804676753784,46.354883081155435,0.14478919017382244,105.26174125636892,1.300743300773357,20.25815641476867,13,0.786277091064862,1.285841748025816,2.370057842080949,0.6862579925111976,0.9423980981200579,1.387211596408245,50.06877579092159,22.145804676753784,10.591471801925723,3.657566041086663,2.1819066147860053
OOS_2025_2026,long,CONTROL_NOT_W5,584,21.232876712328768,45.034246575342465,0.15062932688582215,87.96752690132013,1.3203200879031871,19.310825796348023,10,0.7479161063864757,1.2006917430101325,2.252176508550226,0.661717896573923,0.9261647907308493,1.3241494405237277,49.82876712328767,21.232876712328768,9.58904109589041,3.469163446231566,2.200367527407634
OOS_2025_2026,long,W5_AI_SCORE_5,137,24.817518248175183,53.284671532846716,0.08743204762165756,11.978190524167085,1.161037332874694,18.39059935901424,11,0.950206970173615,1.6507794468981936,2.8726197127704105,0.8065247587161899,1.0384727192271128,1.6963941272470167,49.63503649635037,24.817518248175183,13.86861313868613,4.5316723633416025,1.979702537182839
OOS_2025_2026,long,W5_AI_SCORE_6,77,20.77922077922078,58.44155844155844,-0.0556866445027882,-4.287871626714692,0.9071264953587076,19.887066999949894,7,0.7421174401862296,1.0862988781596128,2.467446596121081,0.818933072863613,1.0662986390996247,1.7315592432511724,45.45454545454545,20.77922077922078,11.688311688311687,4.183841943352686,1.6840373011519523
OOS_2025_2026,long,W5_CLASSIC,49,14.285714285714285,61.224489795918366,-0.21461148902862953,-10.515962962402847,0.6618738599199524,14.915989684277985,5,0.7523050053618235,1.1664011374513226,1.9534269489001348,0.8257324504805781,1.1680868322828337,1.7098786939508566,44.89795918367347,14.285714285714285,6.122448979591836,2.3407913096043647,1.6966960804432623
OOS_2025_2026,long,W5_LOOSE,69,18.84057971014493,56.52173913043478,-0.07251309649802551,-5.00340365836376,0.8752290500130893,13.403430380238895,6,0.7176415994040423,1.100231138758673,1.8326049526655945,0.7617740400066817,1.0468678240360028,1.6800374547804353,49.275362318840585,18.84057971014493,8.695652173913043,2.049984414880899,1.5934459805427497
OOS_2025_2026,long,W5_STRICT_NO_OVERLAP,32,15.625,59.375,-0.14257099759397437,-4.56227192300718,0.7661616798394624,8.132124034735199,6,0.7485196018619205,1.223131352289224,2.0336229498352756,0.8391534657450099,1.1109378453297059,1.6834805201533127,43.75,15.625,6.25,2.3088706802661885,1.6797109582682848
OOS_2025_2026,short,ALL_PIVOT_BREAKOUT,519,10.789980732177264,60.69364161849711,-0.3343769342109308,-173.54162885547308,0.487741452587925,173.90603335880314,17,0.5906159922885342,0.7751551302550803,1.1308552564071643,0.6777469432774422,1.0352457910205417,1.9101448220560742,32.177263969171484,10.789980732177264,4.238921001926782,2.5275335842883075,2.0319934372436554
OOS_2025_2026,short,CONTROL_NOT_W5,448,10.714285714285714,58.25892857142857,-0.3068477286961873,-137.46778245589192,0.5149697192228947,136.95909743595573,15,0.594668177781995,0.7761232708176047,1.1213891802109734,0.6611538030524776,1.0326531626895927,1.9160806248519948,33.035714285714285,10.714285714285714,3.7946428571428568,2.564474757343498,2.062987790652456
OOS_2025_2026,short,W5_AI_SCORE_5,68,11.76470588235294,75.0,-0.4863800941114875,-33.07384639958115,0.3682939643888145,37.2604797089355,14,0.5816063261977136,0.7946053103842479,1.23474116427693,0.7721945187989097,1.0423285940653226,1.8444507497456002,27.941176470588236,11.76470588235294,7.352941176470589,2.357692904853573,1.8094300582474934
