period,timeframe,method,events,win_rate_2r,sl_rate,avg_r_2r,total_r_2r,pf_2r,max_dd_r,max_losing_streak,avg_mfe_24,avg_mfe_48,avg_mfe_120,avg_mae_24,avg_mae_48,avg_mae_120,tp1_rate_120,tp2_rate_120,tp3_rate_120,avg_wave5_ext_wave1_120,median_wave5_ext_wave1_120
OOS_2025_2026,D1,ALL_PIVOT_BREAKOUT,99,30.303030303030305,49.494949494949495,0.23352481301480962,23.118956488466154,1.4686218233151582,10.116316220772198,9,1.1857573557033338,2.1592110247159098,4.473480311205381,0.957251435115526,1.218463542850998,2.327779478703418,47.474747474747474,30.303030303030305,22.22222222222222,6.652140938127668,2.6086628226249267
OOS_2025_2026,D1,CONTROL_NOT_W5,82,26.82926829268293,51.21951219512195,0.16543395267076877,13.565584119003038,1.3204423482731285,8.285045543339294,9,0.8594799738545486,1.6384316683749145,3.7611073197605585,0.9626534634352922,1.261330770137497,2.546171152487022,46.34146341463415,26.82926829268293,19.51219512195122,5.655687007052741,2.263378864992575
OOS_2025_2026,D1,W5_AI_SCORE_5,16,50.0,37.5,0.6595857730914445,10.553372369463112,2.758895394910519,2.6282913980610023,2,2.9119218288187083,4.943038971417146,8.383867468219329,0.9504150032341023,1.0118632710315734,1.1483193919439028,56.25,50.0,37.5,12.106079637057606,6.326849503925878
OOS_2025_2026,D1,W5_AI_SCORE_6,7,42.857142857142854,57.14285714285714,0.2857142857142857,2.0,1.5,4.0,4,1.6237895037301642,2.642062165444751,6.313470310809669,1.1397884989354492,1.280241682472526,1.592141387414993,42.857142857142854,42.857142857142854,42.857142857142854,9.60103548866314,9.231450374352077
OOS_2025_2026,D1,W5_CLASSIC,5,40.0,60.0,0.2,1.0,1.3333333333333333,3.0,3,1.6018751686449195,3.009376546075722,8.149347949586609,1.063792346184232,1.084366827047957,1.463249798700445,40.0,40.0,40.0,7.175372687018009,9.231450374352077
OOS_2025_2026,D1,W5_LOOSE,6,33.33333333333333,66.66666666666666,0.0,0.0,1.0,4.0,4,1.3885411567803896,2.5614589713060583,6.844768474231796,0.990438292319774,1.0717982316181094,1.7678787683503934,33.33333333333333,33.33333333333333,33.33333333333333,6.162534589747103,5.671778351001528
OOS_2025_2026,D1,W5_STRICT_NO_OVERLAP,2,50.0,50.0,0.5,1.0,2.0,1.0,1,1.681258255210464,4.7488806678002184,13.114533224508797,0.789515807699773,0.789515807699773,0.789515807699773,50.0,50.0,50.0,10.94907012951796,10.94907012951796
OOS_2025_2026,H1,ALL_PIVOT_BREAKOUT,820,16.585365853658537,50.1219512195122,-0.045460392715961244,-37.27752202708822,0.9157381266019571,93.2522306318373,13,0.6236166350265684,0.9328033607743449,1.538016170997723,0.6138380264057569,0.9163471994018115,1.4618473891430361,42.5609756097561,16.585365853658537,6.463414634146342,2.768098728355145,2.068054309499468
OOS_2025_2026,H1,CONTROL_NOT_W5,678,16.371681415929203,47.935103244837755,-0.021049740271375104,-14.27172390399232,0.9596837588793306,60.279538859662765,12,0.6151377144589857,0.8959201294704893,1.5193386715030759,0.5971643742347005,0.9084712338197897,1.4088121168815972,42.47787610619469,16.371681415929203,5.752212389380531,2.769820203576561,2.122335932423625
OOS_2025_2026,H1,W5_AI_SCORE_5,137,17.51824817518248,61.31386861313869,-0.17023227703633279,-23.32182195397759,0.7300915414318578,41.68949031952904,25,0.6720491123796765,1.11951183626421,1.6480478624747692,0.6939632252977752,0.9613769957096068,1.736859948935991,42.33576642335766,17.51824817518248,10.218978102189782,2.8106385798952176,1.8613376835236644
