period,method,events,win_rate_2r,sl_rate,avg_r_2r,total_r_2r,pf_2r,max_dd_r,max_losing_streak,avg_mfe_24,avg_mfe_48,avg_mfe_120,avg_mae_24,avg_mae_48,avg_mae_120,tp1_rate_120,tp2_rate_120,tp3_rate_120,avg_wave5_ext_wave1_120,median_wave5_ext_wave1_120
OOS_2025_2026,ALL_PIVOT_BREAKOUT,1246,17.415730337078653,52.32744783306581,-0.05479926773603866,-68.27988759910417,0.9008687525415413,118.49341500452775,15,0.7047778051379646,1.0731239674294983,1.8538891888187545,0.6827128604467361,0.9810722173940154,1.6050304921636407,42.61637239165329,17.415730337078653,7.945425361155698,3.1868703387765933,2.1020140708199477
OOS_2025_2026,CONTROL_NOT_W5,1032,16.666666666666664,50.775193798449614,-0.04796536390946879,-49.50025555457179,0.9112969948157503,85.33478693011199,14,0.681389873813988,1.0163829488800429,1.7612920869455893,0.6614730187661638,0.9723923010385209,1.5811118151158436,42.53875968992248,16.666666666666664,7.073643410852713,3.076430371985583,2.1303230155377793
OOS_2025_2026,W5_AI_SCORE_5,205,20.48780487804878,60.48780487804878,-0.10290563841665398,-21.095655875414067,0.833548875575407,44.325681074297734,20,0.8279394394889257,1.366780221127714,2.329323413757939,0.7951371669387507,1.0397517411246655,1.7455055922709368,42.4390243902439,20.48780487804878,11.707317073170733,3.810547469794353,1.8734770384254749
OOS_2025_2026,W5_AI_SCORE_6,110,16.363636363636363,66.36363636363637,-0.2679675002856369,-29.476425031420057,0.6088454887580044,41.51981692094938,12,0.7165766368042994,0.9857076532689969,2.056476995693241,0.8231708853513628,1.0657861366855863,1.7510803565423347,37.27272727272727,16.363636363636363,9.090909090909092,3.550919983292713,1.6024461034095192
OOS_2025_2026,W5_CLASSIC,75,12.0,68.0,-0.36993241411451405,-27.744931058588556,0.4760723619294912,32.81353216042199,11,0.7030015152952626,1.0186545395611333,1.6679785719204452,0.8112806052779311,1.0989860399723503,1.631869898187266,37.333333333333336,12.0,5.333333333333334,2.1550738404841856,1.6840373011519523
OOS_2025_2026,W5_LOOSE,99,15.151515151515152,64.64646464646465,-0.26497345206615625,-26.23237175454947,0.6022725891010522,35.300972856382906,11,0.6689913144502799,0.9724229556927043,1.593945233059094,0.7744531753682351,1.0347555821876704,1.6495028563106804,40.4040404040404,15.151515151515152,7.07070707070707,1.9407805136716756,1.535154274152752
OOS_2025_2026,W5_STRICT_NO_OVERLAP,44,11.363636363636363,68.18181818181817,-0.3612203987056564,-15.893697543048884,0.48467014594718943,16.962298644882317,7,0.7072091634590798,1.0911300116425036,1.7586107591490547,0.8429527333651802,1.1142512226276553,1.68915795581794,36.36363636363637,11.363636363636363,4.545454545454546,2.11894390784984,1.5930001360831645
Research_2015_2024,ALL_PIVOT_BREAKOUT,9764,22.347398607128227,50.80909463334699,0.04281064565229345,418.0031441489932,1.079567591131275,59.04348333443659,16,0.687040860454108,0.9738182920428706,1.554927555825218,0.6224284426907029,0.909394939705647,1.48646267508544,46.03646046702171,22.347398607128227,11.337566571077428,2.740713892278151,2.170969353764152
Research_2015_2024,CONTROL_NOT_W5,7972,22.00200702458605,49.92473657802308,0.048858926986807376,389.5033659388284,1.0920330310097317,38.22465085353599,16,0.6787752647790868,0.954920202168782,1.5280605969460324,0.6104612696499294,0.894732844410734,1.4599334421423449,45.94831911690918,22.00200702458605,10.925740090316106,2.748227337422571,2.1752419554967286
Research_2015_2024,W5_AI_SCORE_5,1736,23.847926267281107,54.55069124423964,0.019533807411590113,33.91068966652043,1.0343856244688865,52.723961595412945,17,0.7169920822424819,1.0454590437395765,1.6628384016007203,0.6721613380978156,0.9710378614730752,1.5862443849664423,46.486175115207374,23.847926267281107,13.248847926267281,2.732670560012415,2.161171240819483
Research_2015_2024,W5_AI_SCORE_6,892,24.327354260089688,54.7085201793722,0.030714210879940314,27.39707610490676,1.054101343887801,32.4272041342786,11,0.7183999361458533,1.06024735094958,1.6898336184253113,0.6828693909767162,0.9934310310625847,1.5443688379654232,46.860986547085204,24.327354260089688,14.013452914798204,2.3883871832192285,1.930477885104212
Research_2015_2024,W5_CLASSIC,531,25.423728813559322,51.60075329566855,0.08941905047863496,47.481515804155165,1.166098726563915,20.471113731582385,21,0.7397012955514745,1.0803938896741148,1.695923126539949,0.6413591311885485,0.9362790569624201,1.4949049876626346,48.39924670433145,25.423728813559322,14.87758945386064,2.30284658332231,1.8930817610062896
Research_2015_2024,W5_LOOSE,688,25.872093023255815,53.633720930232556,0.0640786044984234,44.0860798949153,1.1151995406160966,21.471113731582385,15,0.7484587964366258,1.1013093003419843,1.715989828171312,0.6739713285957266,0.982968086411429,1.6168349502167538,47.674418604651166,25.872093023255815,14.534883720930234,2.119292297522363,1.696118477331054
Research_2015_2024,W5_STRICT_NO_OVERLAP,352,24.431818181818183,53.125,0.042731319013435035,15.041424292729133,1.0772016699240152,16.492955750092495,13,0.7331149470511142,1.067181471655676,1.668823088305764,0.6898751872222921,1.0149454870035728,1.5271079240502716,46.875,24.431818181818183,14.488636363636365,2.1352373001417093,1.725873655913929
