symbol,status,path,rows,start,end,median_minutes,bars_2015_2026
GBPJPY,missing,,0,,,,0
USDJPY,missing,,0,,,,0
EURJPY,missing,,0,,,,0
CHFJPY,missing,,0,,,,0
AUDJPY,missing,,0,,,,0
XAUUSD,missing,,0,,,,0
